"ID","AIC","BIC","B0","B1","B2","B3"
433,-40.24944,-37.4247,0.1031394,0.01810877,0.0004754905,-1.834989e-05
434,-15.64467,-12.81993,0.1312709,0.02436591,0.001206165,-3.81011e-05
443,99.14109,98.09988,26766.54,-4419.573,224.6011,-3.198154
444,92.5319419,91.49073924,1849.04204171,-627.64739678,56.36286653,-0.99983676
445,98.50628,97.46507,11822.86,-1847.966,88.15314,-1.207996
446,83.29552321,82.25432055,3329.60247992,-544.00859533,27.17630923,-0.37611703
448,71.9579727,70.91677005,1608.06411207,-193.80789314,8.31515809,-0.10719519
451,82.68732169,81.64611904,3480.25191343,-631.34577677,35.15306945,-0.52230012
452,89.0173829,87.9761802,3019.7989397,-520.6568154,28.6864896,-0.4282708
453,77.70527571,76.66407305,2265.1734648,-365.34220424,21.59037876,-0.33860911
454,83.66894933,82.62774668,4064.26559441,-645.14513902,31.5420835,-0.43238547
455,56.97418025,55.93297759,-709.58888298,133.78762701,-5.99859351,0.0807917
458,73.91578449,72.87458184,1076.08812953,-135.54655316,5.53781902,-0.06358108
459,27.596048908,26.554846254,-1.26929401,1.803667122,-0.094621981,0.003055215
464,42.40254,45.22729,4.233705,-0.698617,0.04794316,-0.000574519
466,39.41455,42.2393,5.448365,-0.9863831,0.05303629,-0.000570256
468,64.5273387773,67.3520855646,4.6740157058,-0.6185656807,0.0518596704,-0.0005828392
491,-32.19284,-34.14565,-0.1397455,0.04159909,-0.001789354,5.220245e-05
494,-28.33733,-30.29014,-0.2557213,0.07389978,-0.003770437,8.09319e-05
495,-36.10745,-38.06026,0.2662855,-0.01650158,0.001158328,1.696669e-05
498,-25.39376,-27.34657,-2.241259,0.8053812,-0.03311276,0.001079494
501,-4.1338475322,-6.08665797,-4.15037408,1.1588374471,-0.0593753534,0.00125194
502,-6.8310962123,-8.7839066501,3.5242168,-0.1898569595,0.0145541686,0.0002588127
539,-40.16586,-42.11867,0.04157143,0.005569048,-0.0002371429,1.616667e-05
548,9.715764969,7.762954531,-52.351428571,8.075238095,-0.307142857,0.004133333
549,-17.14001,-19.09282,51.63286,-3.482143,0.09428571,-2e-04
559,-27.42814,-29.38095,2.020312,-0.2102211,0.01178948,-0.0001434987
560,-9.967914,-11.00912,1.096093,-0.1233944,0.01186822,-0.0002002286
562,3.9648830635,2.9236804097,-1.75649939,0.3851261967,-0.013245467,0.0001620611
