"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Bee_Bimpatiens_hv4_1","1","1502.92506180952","1","85.1363692646559","1.62583023036123e-07","1428.45266864518","0.683520312126156","54.322496189639","0.79840402142132","1428.31125432707","2184688.51553265","0.11129560082117","58.3248021886937","0.107927721996294","1428.45267038397","0.683520246684716","1","58.608210475355","0.0936680939993634",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv4_2","1","1590.91680364243","1","86.1506675659827","7.03079005098902e-11","1508.21054926558","0.705625090118954","43.6195409591625","0.120926345061489","1508.59863987699","656.385038649834","0.592801503273117","46.4597875249789","0.0292259893264228","1512.31464643884","0.172232889417443","0.0681215045229835","39.7204818431685","0.849553739912161","1603.56296959683","0.226760322613687","9.91301037990807e-05","1","55.6587612509125","0.000293925629619086"
"Bee_Amellifera_hv13_1","1","4279.65828759627","1","124.858364875377","5.59664617779709e-15","1509.7871882587","11.0910079209336","83.1528372236562","6.37042069403345e-06",NA,NA,NA,NA,"0","1573.35490574559","4.30775725561621","0.379702698147321","60.8856687097854","0.435935583590787","1710.75670692698","0.8349868013244","0.0460198365544917","1","60.370343357294","0.564058045988513"
"Bee_Amellifera_hv13_2","1","1933.38802602694","1","98.7056198410907","4.26466662234285e-22","1800.85976597384","1.32278639256637","25.6004891102141","3.19493866192648e-06","1801.06638960631","201.845294929794","0.500000001070623","27.3541611017017","1.32940555840717e-06","1803.05857648946","0.152480987576573","0.0120824030308575","0.316937699439544","0.987906755139897","1804.52507205223","19.2209941957144","851.642746586995","0.244137126061274","9.12356867310108","0.0120887205158826"
"Bee_Amellifera_hv15_1","1","1307.36116960881","1","83.7037457129978","0.109123966125999","1246.41972233015","0.505565455986624","79.9332530352524","0.718906191754283","1245.71278558003","1944.21430281428","0.545220049478655","84.2674248978091","0.0823225401022928","1247.24737222236","0.410058728180101","0.627989499734583","84.1941042153808","0.0853965147187392","1247.67886277559","8.94457452208552","15.5162200685561","1","90.1945063677326","0.00425078729868568"
"Bee_Amellifera_wild_1","1","1837.19368526407","1","94.6696447265123","5.06016786469827e-21","1733.41847460141","1.26982988050176","6.22057882523934","0.081402088858722","1733.46478529906","122.316102203684","0.512584426686828","9.03187809131111","0.0199604197714993","1733.85673449673","0.200076601509481","0.00728401572686901","1.48314209410063","0.869674757591641","1734.07668801237","37.2831607036657","4113.04182159323","0.268384033267285","8.28736077095069","0.0289627337781378"
"Flower_eDNA","2","2711.64676616501","1","123.385655202948","6.64312855039398e-10",NA,NA,NA,"0","2830.71008052393","1870.2067403327","0.9974683683235","82.5042775489076","0.50078466374973","977.794440981085","2.42136394155767e-06","0.00111574217040723","82.5105548667201","0.499215335585957",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","2","867.8475873907","1","79.0555479951815","1",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv4_1","2","852.59963764499","1","76.7103752262208","1.26075819933556e-09","809.255920716298","0.797212429256666","36.202143668857","0.788646753352038","809.270336990528","4387662.64584937","0.0767983231568295","40.0660521502082","0.114247170720528","809.25591762482","0.797212794973546","1","40.4878579545469","0.0925233794473282","809.255344715364","577.400087846612","721.676644550381","1","46.4982060795108","0.00458269521934801"
"Bee_Bimpatiens_hv4_2","2","871.816715658545","1","78.1677780389399","1.69424011289505e-13","824.514045032223","0.950086381630558","19.8465156742371","0.78212500580888","824.793459578278","51.6038255545652","0.709793007017821","23.8989417291931","0.10311053356859","824.914537762969","0.263278961761443","0.0368319761762314","23.805626838788","0.108035405215467","825.111395508641","2.27173531072468","0.807786906595604","1","29.3576752812921","0.00672905540689408"
"Bee_Amellifera_hv13_1","2","2669.72013175963","1","118.469598050473","5.73076964069091e-16","926.781421058884","16.8366392066879","70.6653340909515","1.37650240981242e-05","1048.21319541068","309.035875219693","0.175825601741114","74.0417776467274","2.54443624667018e-06","955.461865381177","4.59229609002441","0.234139608571582","48.3669032749936","0.956796780444695","1007.45634690872","0.787218737541008","0.0203981224325906","1","54.5630104269893","0.0431869100949596"
"Bee_Amellifera_hv13_2","2","1108.84601531644","1","88.1747460616653","7.50842894951695e-20","1032.49893871754","1.49466999009465","0.509858612475849","0.816088979982956","1032.54821185883","61.2487369886502","0.500000000938235","5.07157551315539","0.0834013872380581","1032.4989447457","1.49466259121364","0.999985059065523","4.79557292802251","0.0957428771621896","1032.49893967753","66769.6310022019","44670.1180548305","1","10.7955735801277","0.00476675561679673"
"Bee_Amellifera_hv15_1","2","686.578485530641","1","80.140962279766","0.032870218386773","652.130238249821","0.613591888257674","73.8225089807834","0.77417169805385","652.16697297112","5887828.10431309","0.0729303157004725","77.9641141280258","0.0976110893621266","652.130246095773","0.613591494439011","1","78.1082232665095","0.0908251780289087","652.130156948094","27060.0678287908","44097.7213751357","1","84.1082689023895","0.00452181616834166"
"Bee_Amellifera_wild_1","2","1059.99183221081","1","83.7771447410089","3.62721956074193e-19","1000.08036205487","1.30406922131387","-0.336345262003456","0.667707302199497","1000.1019423163","64.3215936670453","0.505595110122919","3.33088381215566","0.106722858843518","1000.2015633374","0.300774942608524","0.0106270494488936","1.91042995909084","0.217122627280412","1000.19880202092","128.084543524143","19664.3703121227","0.367263391406015","8.4036817366801","0.00844721167657247"
