"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Methylomicrobium"	"Bacteria"	0	0	0	0	0	0	0	8
"Mikania"	"Plants"	0	0	0	3982	184	406	0	0
"Moesziomyces"	"Fungi"	0	0	0	4	0	0	0	0
"Monomorium"	"Arthropods"	0	0	0	0	0	4	0	0
"Morganella"	"Bacteria"	0	0	0	0	0	0	0	6593
"Mucuna"	"Plants"	0	0	0	0	0	4639	0	0
"Musca"	"Arthropods"	0	0	0	0	0	0	58	0
"Mycobacterium"	"Bacteria"	0	0	0	0	0	144	0	0
"Nasonia"	"Arthropods"	0	0	0	0	0	10	0	21
"Naumannella"	"Bacteria"	0	4	0	0	0	0	0	0
"Neisseria"	"Bacteria"	0	0	0	0	0	0	0	69
"Nicotiana"	"Plants"	0	0	0	0	0	0	174	0
"Nitrospirillum"	"Bacteria"	0	0	0	0	0	0	0	29
"Nomia"	"Arthropods"	0	197	0	167	38	57	0	0
"Nosema"	"Fungi"	1660	7589	1444	0	2018	217873	0	306037
"Nylanderia"	"Arthropods"	0	0	0	0	0	23	0	15
"Oblitimonas"	"Bacteria"	0	0	0	0	0	0	0	64
"Olsenella"	"Bacteria"	0	0	0	0	0	282	0	0
"Ooceraea"	"Arthropods"	0	163	225	0	0	0	0	0
"Orbus"	"Bacteria"	0	0	958	0	0	0	0	751
"Osmia"	"Arthropods"	0	0	0	0	0	219	2900	0
"Pantoea"	"Bacteria"	0	2752	4324	8986	136	47	0	0
"Parascardovia"	"Bacteria"	0	92	85	154	0	907	0	0
"Patellaria"	"Fungi"	0	0	0	40	0	0	0	0
"Paucimonas"	"Bacteria"	0	0	0	0	0	0	0	12
"Pectobacterium"	"Bacteria"	0	0	0	0	0	0	0	52
"Pediococcus"	"Bacteria"	0	29	0	0	0	0	0	36
"Pefuambidensovirus"	"Viruses"	0	0	0	0	0	0	5284	0
"Penicillium"	"Fungi"	0	2056	0	0	0	0	0	0
"Phenylobacterium"	"Bacteria"	0	0	0	0	0	0	0	47
"Photobacterium"	"Bacteria"	0	0	0	0	0	0	0	15
"Plasmodium"	"Others"	0	0	0	0	0	0	3162	0
"Polistes"	"Arthropods"	117	23	0	0	0	0	2	0
"Populus"	"Plants"	0	0	0	0	0	105	0	0
"Proteus"	"Bacteria"	0	105	0	0	0	350	0	163
"Providencia"	"Bacteria"	0	0	0	0	0	2055	0	4103
"Pseudochrobactrum"	"Bacteria"	0	0	0	0	0	0	0	389
"Pseudomonas"	"Bacteria"	0	2718	0	0	0	75	0	83561
"Pseudoscardovia"	"Bacteria"	0	0	0	0	0	332	0	0
"Pyrus"	"Plants"	0	0	0	0	0	380	0	0
"Raphanus"	"Plants"	0	0	0	0	0	208	0	1292
"Rathayibacter"	"Bacteria"	0	0	0	0	0	10	0	0
"Rhagoletis"	"Arthropods"	12	0	0	0	0	147	15579	0
"Rhizophagus"	"Fungi"	0	0	0	0	0	4	8	2
"Rouxiella"	"Bacteria"	0	0	105	0	0	0	0	0
"Ruminococcus"	"Bacteria"	0	0	0	0	0	15	0	0
"Saccharibacter"	"Bacteria"	0	0	0	0	0	0	0	62
"Saezia"	"Bacteria"	0	0	0	0	0	0	0	26
"Salmonella"	"Bacteria"	0	52	0	0	0	30	0	12
"Saprochaete"	"Fungi"	0	0	0	234	0	0	0	0
"Schleiferilactobacillus"	"Bacteria"	0	0	0	0	0	0	0	68
"Scindoambidensovirus"	"Viruses"	3870	0	0	0	1320	0	278980	0
"Secundilactobacillus"	"Bacteria"	0	0	0	0	0	91	0	0
"Serratia"	"Bacteria"	0	0	0	0	0	61	0	56
"Sinorhizobium"	"Bacteria"	0	0	0	0	0	75	0	36
"Snodgrassella"	"Bacteria"	10422	84936	39146	90677	5136	848983	2279	788551
"Solanum"	"Plants"	0	0	0	0	0	471	0	0
"Solenopsis"	"Arthropods"	0	63	76	72	0	0	0	0
"Sporolactobacillus"	"Bacteria"	0	0	0	0	0	0	0	24
