"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Frieseomelitta varia"	"Arthropods"	109	216	181	188	0	133	0	91
"Frischella perrara"	"Bacteria"	1760	15073	1990	3425	368	157561	0	543419
"Fructilactobacillus sanfranciscensis"	"Bacteria"	0	0	0	0	0	0	110	0
"Fructobacillus durionis"	"Bacteria"	0	0	0	0	0	0	12883	0
"Fructobacillus ficulneus"	"Bacteria"	0	0	0	0	0	0	3538	0
"Fructobacillus fructosus"	"Bacteria"	2410	0	0	0	786	0	655382	0
"Fructobacillus pseudoficulneus"	"Bacteria"	0	0	0	0	0	0	4217	0
"Fructobacillus tropaeoli"	"Bacteria"	0	0	0	0	0	0	137409	0
"Gilliamella apicola"	"Bacteria"	6566	53639	24181	30205	2164	746755	0	1161557
"Gilliamella apis"	"Bacteria"	772	39822	0	0	0	523214	0	1354903
"Gilliamella bombi"	"Bacteria"	0	0	0	0	0	0	0	13263
"Gilliamella bombicola"	"Bacteria"	0	0	0	0	0	0	0	11347
"Gilliamella sp. A7"	"Bacteria"	0	0	0	0	0	16384	0	0
"Gluconacetobacter diazotrophicus"	"Bacteria"	0	0	0	0	0	21	0	36
"Glycine max"	"Plants"	0	0	0	0	0	5290	0	0
"Glycine soja"	"Plants"	0	0	0	0	0	4979	0	0
"Grifola frondosa"	"Fungi"	0	102	0	0	0	0	0	0
"Habropoda laboriosa"	"Arthropods"	0	0	0	0	0	142	177	42
"Haemophilus influenzae"	"Bacteria"	0	0	0	0	0	0	0	97
"Halomonas urmiana"	"Bacteria"	0	0	0	0	0	0	0	13
"Harpegnathos saltator"	"Arthropods"	0	0	0	0	3	36	0	0
"Helianthus annuus"	"Plants"	0	2384	0	5151	0	0	0	0
"Hemipteran scindoambidensovirus 1"	"Viruses"	2772	0	0	0	898	0	180950	0
"Hepatospora eriocheir"	"Fungi"	0	0	0	0	0	4	0	0
"Homo sapiens"	"Others"	0	0	0	0	0	0	5192	0
"Hortaea thailandica"	"Fungi"	0	0	0	2	0	0	0	0
"Hymenopteran scindoambidensovirus 1"	"Viruses"	0	0	0	0	0	0	7922	0
