"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Bee_Bimpatiens_hv4_1","1.0","11.829232582405","1","-22.7647691213265","0.559308352516078","11.4921032472885","0.317342310098514","-17.1883615999963","0.0344151603424475","11.4327907983695","86.5129110471904","0.500000001210895","-9.58875350464521","0.000770044577656335","11.6485263244151","0.0981169623027285","0.202850300650018","-22.0688811775457","0.394949126802005","11.6973106809597","202.159796212953","81724.7566218482","0.491755273132639","-14.8250053636338","0.0105573157618131"
"Bee_Bimpatiens_hv4_2","1.0","12.6401516865143","1","-20.228866664344","0.585960273831099","12.2690209841963","0.321780336664455","-16.6409474515877","0.0974454163375536","12.1997887370989","79.7628672702961","0.50000000140708","-8.44790263199607","0.0016205570999854","12.4131428392291","0.117194806384239","0.2430327791266","-18.9120263018649","0.303333182606909","12.4619828217499","107.360897462617","11343.3037732445","0.536205190355521","-12.3913555157158","0.0116405701244528"
"Bee_Amellifera_hv13_1","1.0","16.4927256019942","1","22.7004849483876","1.51512472826072e-16",NA,NA,NA,"0","6.75913528752558","0.1891657580065","0.464022180974575","-49.3033281860453","0.654451920495247","7.63073744610972","1.7212394888759e-07","0.00857681540752289","-48.0259955260013","0.345548079504753",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_hv13_2","1.0","16.461075101271","1","-15.8743193933386","0.00877212009088263","16.0094297728217","0.309443459829345","-24.9669095353716","0.827056979538536","15.9553895219244","140.734174693793","0.500000000633455","-19.7702304000506","0.0615305638214566","16.0094297226549","0.309443483911126","1","-20.681195249661","0.09702963515207","16.0449736806371","8.50892944341675","24.7061974243885","1","-14.9805138277774","0.00561070139705458"
"Bee_Amellifera_hv15_1","1.0","12.1106371714643","1","-18.688012747195","0.0143785129483292","11.6570357859426","0.484232112492225","-24.8596757140649","0.314683200253917","11.8960922456361","0.925666331304149","0.960807355242618","-24.8401921809208","0.311632513637678","12.7073533047074","0.00106447688937998","0.0260286209868648","-25.0275230037697","0.342232408788646","16.6102852637757","1.38487392308559","0.358985420331836","0.0730057269082235","-19.0315820955711","0.01707336437143"
"Bee_Amellifera_wild_1","1.0","15.2224720023102","1","-11.9041439875684","2.08809081558342e-09","14.5821473952596","0.590560880435641","-37.8812660788067","0.00091329225165711","14.5802750734374","23.7607247090277","0.507066210868167","-33.3852349721058","9.64515082064913e-05","14.7589854373186","0.0322835908186874","0.0248129685376133","-51.7837330652805","0.953876438835572","15.0267388323638","7.19793711342298","461.974382286376","0.168746616999702","-45.681041829057","0.0451138153164737"
"Flower_eDNA","2.0","6.05228094351894","1","37.9588990422606","0.187066744583781","3.65023097567121","138.579402982447","35.0205319753846","0.812933255416219",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","2.0","7.88739849537995","1","0.122880035147489","0.679916066828377",NA,NA,NA,"0",NA,NA,NA,NA,"0","8.77816343897355","6.8371393153805e-06","0.0174296287296598","1.72649785605813","0.304953848560183","31.5715474779729","0.396985317747952","36.4942040194545","0.0266063013287817","7.73344851382033","0.0151300846114402"
"Bee_Bimpatiens_hv4_1","2.0","8.30677744503707","1","-24.6488815212416","0.477459907341043","8.09341194515161","0.294866168540045","-21.7454028839766","0.111803277281512","8.03950275311899","68.3324834512716","0.500000001145999","-13.7587249441176","0.00206143409692932","8.21005873461406","0.0973992752171147","0.226493004711604","-24.2673429821168","0.394536210001412","8.25259815303824","193.67738383002","64701.8247855798","0.505997638610127","-17.6098192367852","0.0141391712791026"
"Bee_Bimpatiens_hv4_2","2.0","7.12447088381003","1","-29.3133926565161","0.881627526340191","6.88385586879094","0.363827966347933","-25.1074485266855","0.107640567296574","6.8587089408713","36.1212308001438","0.500000001293451","-19.0723406814294","0.00526585577917031",NA,NA,NA,NA,"0","7.05658160872853","58.0269981203893","21605.3399273622","0.409038197120516","-19.1469660179167","0.00546605058406463"
"Bee_Amellifera_hv13_1","2.0","10.701196353128","1","14.100094512995","1.13686388950021e-16",NA,NA,NA,"0","4.440582995344","0.165620911231765","0.68776958396785","-58.4119270325556","0.633131449202537","4.79151877155473","2.47278175293208e-07","0.00669211789249281","-57.3205781334124","0.366868550797463",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_hv13_2","2.0","11.3635442567611","1","-27.5425153492002","0.00048698517016879","10.9971381142928","0.354105045355916","-42.0389255457084","0.684496471934269","10.9782934413037","76.0819264686806","0.500000000599486","-39.8639221173718","0.230714675557697","10.997138117341","0.354105042188265","1","-37.753211259994","0.0803045552817807","10.997142105534","28928.2243769113","81690.9966506715","1","-31.7528028632387","0.00399731205608451"
"Bee_Amellifera_hv15_1","2.0","8.27752273939486","1","-7.76722869690763","1",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_wild_1","2.0","10.3145599381152","1","-14.7156810328615","2.25295086945272e-16","9.86061830781948","0.797634196017778","-72.8338669606893","0.000939626906468166","9.86070257224787","5.3001424089141","0.501187096800683","-68.7208615148328","0.000120178743720393","9.88210999394995","0.0561885372630134","0.00918029765732268","-86.6681577612227","0.94849167255951","9.90414940282388","14.6162161513334","2637.95127287264","0.17664843910061","-80.8003186334898","0.050448521790301"
