"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Bee_Bimpatiens_hv4_1","1.0","17.5253737330452","1","23.0583836513798","5.36448485772722e-11","11.4921027897528","5.26263495624737","-17.1883616003129","0.0294440612467369","11.646060625025","3.47744918190913","0.150177403724308","-23.2944670765274","0.623622347248077","11.6485235611988","1.62713946929148","0.202852806820955","-22.068881189648","0.337900687711967","11.6972974096566","203.775028197808","5010.92772404558","0.491739202218326","-14.8251248948697","0.00903290373957385"
"Bee_Bimpatiens_hv4_2","1.0","17.3746269890271","1","21.2280804229926","7.32353125594621e-10","12.2690200656309","3.829268389942","-16.6409474527597","0.122426507427563","12.4046823034115","4.31715847883515","0.196752542438088","-19.4410034282356","0.496477863959057","12.4131416564091","1.3946532728513","0.243034090500569","-18.9120263024896","0.381095627881027",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_hv13_1","1.0","22.2892088825918","1","24.4953947817682","7.21419591237046e-17",NA,NA,NA,"0","6.86017091119526","0.285182509994505","0.499980398434238","-49.289200888962","0.759118030193381","7.89257121906434","2.59558178933931e-07","0.0105895112319041","-46.993500466715","0.240881969806619",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_hv13_2","1.0","19.2118416940623","1","15.2818570123585","1.46078489786147e-09","16.0094297458633","1.68890986417554","-24.9669095353743","0.802592094917473","15.9979236172153","19.6895212712097","0.151857582436498","-20.7571700156134","0.0978051122883008","16.0094296486014","1.68891011857788","1","-20.6811952496558","0.0941594352893579","16.0464557633746","8.2083880136718","4.34991635226836","1","-14.9800078995298","0.00544335604408347"
"Bee_Amellifera_hv15_1","1.0","12.4023123525399","1","-8.48189138750003","0.00012248381310225","11.6570355849371","0.787484137761279","-24.859675714147","0.44103126457169","11.6576538029608","7.93770778789824","0.500665975362462","-20.7061367019651","0.0552764114551874","12.7145549907527","0.0016913087197903","0.0260206560467129","-25.0275232089591","0.479641771097536","16.3932684224837","1.67936568104583","5.87039977376845","0.0702101450628957","-19.0315485940099","0.0239280690624846"
"Bee_Amellifera_wild_1","1.0","16.6225913658383","1","12.2823353926626","1.16611585243748e-14","14.5821474620866","2.01710911094744","-37.8812660787702","0.000911232823372268","14.6097964102658","1.71849223822359","0.500086734754887","-39.7363345759225","0.00230384024706046","14.7589850732121","0.110267593101683","0.024812992712667","-51.7837330652688","0.951725495253117","15.0124603613587","11.2022653214394","4262.50852122875","0.159495361684754","-45.6831444141475","0.0450594316764385"
"Flower_eDNA","2.0","7.58187610154013","1","38.2232631977008","0.153910577763522","3.65023094568835","213.453808060332","35.0205319852312","0.763365827784892",NA,NA,NA,NA,"0","5.44416081700096","5.98495376355423e-08","0.0243638202177388","39.4649970113787","0.0827235944515858",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","2.0","10.4727572935859","1","16.3694730058958","0.000332336153926834",NA,NA,NA,"0","7.61551413390928","0.22290207656339","0.500822852739318","1.85205835627255","0.472056656967269","8.93769969681426","2.92702956596578e-05","0.0174242144934183","1.72645877407669","0.502652363755346","56.308691272834","0.221232969136094","70.629311142356","0.0247334226239552","7.73181602496611","0.0249586431234587"
"Bee_Bimpatiens_hv4_1","2.0","12.322276173276","1","15.5024007680912","8.42843786962904e-10","8.09341139547854","4.88990549731673","-21.7454028855424","0.103277302162178","8.20391991059335","2.74234222834572","0.147550502556618","-24.9750840049553","0.519183914874353","8.21006806770192","1.6151232738542","0.226481287854199","-24.2673429859771","0.364449382985311","8.25213265427087","486.613292864701","25150.8393575628","0.504303483493205","-17.6141729889179","0.0130893991353145"
"Bee_Bimpatiens_hv4_2","2.0","9.77967529287626","1","10.5776190213781","5.59401244945991e-09","6.88385649707844","4.32962599631264","-25.10744852592","0.313788764800956","6.97569547396431","1.77398534458402","0.251814565790909","-25.2861010481616","0.343108353633142","6.99477619469053","1.01582469369674","0.149935999973656","-25.1911612198663","0.327201563433698","7.06396292852447","17.5215366304981","72.7512695977129","0.425353783868561","-19.1428117647731","0.0159013125381911"
"Bee_Amellifera_hv13_1","2.0","14.4618450729811","1","15.8895149452561","5.80143702456521e-17",NA,NA,NA,"0","4.42687526793567","0.152222310233809","0.500010057704731","-58.4117585244348","0.790409434441023","5.02964980066022","3.76871551444778e-07","0.0096878943217758","-55.756968238712","0.209590565558977",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_hv13_2","2.0","13.2442042250798","1","10.0418621819373","3.37381292984645e-12","10.9971381147572","1.93266801897891","-42.0389255457083","0.687575447158728","10.9783864561663","73.9909469232552","0.0233697230622372","-39.8639757055363","0.231758676954136","10.9971381154791","1.93266801401676","1","-37.753211259994","0.080665778087545","14.2935704941361","0.13930398262679","0.000172010240404857","1","-10.5073331082297","9.77962178562331e-08"
"Bee_Amellifera_hv15_1","2.0","8.47018866277659","1","-2.70102993089706","1",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Amellifera_wild_1","2.0","11.256797649213","1","6.16961815616809","4.06287245766782e-21","9.86061830501892","2.72438625159676","-72.8338669606912","0.000581061375438093","9.87770905266176","0.184699901700256","0.735457382518882","-85.8088841305198","0.381690356486868","9.88210980848902","0.191918528998245","0.00918035127888447","-86.6681577620529","0.586543310204737","9.90481615120676","10.9893994768204","97.0183097231483","0.184482027555999","-80.7995566008005","0.0311852719329566"
