txid	TxPath	TxGroup	KEGG_KO	ReadCount
-2	[no rank] unknown;[no rank] unknown;	Others	K01878	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01880	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01881	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01885	10
-2	[no rank] unknown;[no rank] unknown;	Others	K01887	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01889	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01914	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01915	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01916	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01924	7
-2	[no rank] unknown;[no rank] unknown;	Others	K01925	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01928	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01937	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01940	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01951	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01952	5
-2	[no rank] unknown;[no rank] unknown;	Others	K01953	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01955	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01956	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01961	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01962	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01990	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01992	11
-2	[no rank] unknown;[no rank] unknown;	Others	K02003	9
-2	[no rank] unknown;[no rank] unknown;	Others	K02004	27
-2	[no rank] unknown;[no rank] unknown;	Others	K02010	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02012	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02013	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02016	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02025	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02026	9
-2	[no rank] unknown;[no rank] unknown;	Others	K02027	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02028	16
-2	[no rank] unknown;[no rank] unknown;	Others	K02029	16
-2	[no rank] unknown;[no rank] unknown;	Others	K02030	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02031	10
-2	[no rank] unknown;[no rank] unknown;	Others	K02032	15
-2	[no rank] unknown;[no rank] unknown;	Others	K02035	12
-2	[no rank] unknown;[no rank] unknown;	Others	K02036	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02040	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02048	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02055	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02065	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02072	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02078	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02110	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02111	12
-2	[no rank] unknown;[no rank] unknown;	Others	K02112	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02171	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02192	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02232	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02238	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02242	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02257	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02313	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02314	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02340	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02342	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02343	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02346	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02355	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02358	12
-2	[no rank] unknown;[no rank] unknown;	Others	K02387	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02388	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02390	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02391	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02392	14
-2	[no rank] unknown;[no rank] unknown;	Others	K02400	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02406	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02411	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02427	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02433	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02434	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02435	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02469	17
-2	[no rank] unknown;[no rank] unknown;	Others	K02470	14
-2	[no rank] unknown;[no rank] unknown;	Others	K02484	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02493	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02517	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02518	4
