"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Lacticaseibacillus rhamnosus"	"Bacteria"	0	5	0	0	0	0	0	0
"Lactiplantibacillus plantarum"	"Bacteria"	0	3	0	6	0	0	0	0
"Lactobacillus amylovorus"	"Bacteria"	0	253	0	223	0	0	0	0
"Lactobacillus apis"	"Bacteria"	376	739761	0	1340046	34345	0	0	750
"Lactobacillus bombicola"	"Bacteria"	0	1505	0	2217	44953	0	26814	0
"Lactobacillus crispatus"	"Bacteria"	0	99	0	144	0	0	0	0
"Lactobacillus delbrueckii"	"Bacteria"	0	0	0	20	0	0	0	0
"Lactobacillus gasseri"	"Bacteria"	0	250	0	0	0	0	0	0
"Lactobacillus helsingborgensis"	"Bacteria"	0	270512	0	605543	0	0	0	0
"Lactobacillus helveticus"	"Bacteria"	0	0	0	259	75	0	0	0
"Lactobacillus iners"	"Bacteria"	0	12980	0	6790	0	0	0	0
"Lactobacillus kimbladii"	"Bacteria"	0	276570	0	626160	25400	0	0	0
"Lactobacillus kullabergensis"	"Bacteria"	0	298874	0	485899	22473	0	0	0
"Lactobacillus melliventris"	"Bacteria"	0	394853	0	1371044	2386	0	0	1092
"Lactobacillus panisapium"	"Bacteria"	0	1820	0	3511	0	0	0	0
"Lactobacillus sp. ESL0228"	"Bacteria"	168	0	0	0	0	1508	8060	0
"Lactobacillus sp. ESL0263"	"Bacteria"	0	12362	0	51614	0	0	0	0
"Lactobacillus sp. wkB10"	"Bacteria"	0	6276	0	14170	0	0	0	288
"Lactobacillus sp. wkB8"	"Bacteria"	0	0	0	0	0	0	0	476
"Lasius niger"	"Arthropods"	2	61	652	0	251	490	296	0
"Lentilactobacillus buchneri"	"Bacteria"	0	0	0	0	16	0	0	0
"Lentilactobacillus curieae"	"Bacteria"	0	0	83	5	6	0	14	0
"Lentilactobacillus parafarraginis"	"Bacteria"	0	0	0	0	8	0	0	0
"Leuconostoc carnosum"	"Bacteria"	0	0	582	0	0	0	0	0
"Leuconostoc citreum"	"Bacteria"	0	0	544	0	0	0	0	0
"Leuconostoc gelidum"	"Bacteria"	0	0	6949	0	0	0	0	0
"Leuconostoc lactis"	"Bacteria"	0	0	1332	0	0	0	0	0
"Leuconostoc mesenteroides"	"Bacteria"	0	0	883	0	0	0	0	0
"Leuconostoc pseudomesenteroides"	"Bacteria"	0	0	978	0	0	0	0	0
"Levilactobacillus brevis"	"Bacteria"	0	0	0	0	13	0	0	0
"Limosilactobacillus coleohominis"	"Bacteria"	0	0	0	479	0	0	0	0
"Limosilactobacillus fermentum"	"Bacteria"	0	0	0	127	0	0	0	0
"Limosilactobacillus reuteri"	"Bacteria"	0	0	0	262	0	0	0	0
"Limosilactobacillus vaginalis"	"Bacteria"	0	0	25	0	0	0	0	0
"Lipotes vexillifer"	"Others"	0	0	0	74	0	0	0	0
"Liquorilactobacillus ghanensis"	"Bacteria"	0	0	23	29	0	0	0	0
"Liquorilactobacillus nagelii"	"Bacteria"	0	0	0	13	0	0	0	0
"Liquorilactobacillus satsumensis"	"Bacteria"	0	0	21	0	0	0	0	0
"Listeria monocytogenes"	"Bacteria"	0	4	0	0	0	0	0	0
"Loigolactobacillus backii"	"Bacteria"	0	0	0	0	26	0	0	0
"Lotus japonicus"	"Plants"	0	13542	0	0	0	0	0	0
"Lucilia cuprina"	"Arthropods"	0	46	182	0	0	0	0	0
"Lupinus albus"	"Plants"	0	5125	734	1979	1384	0	794	757
"Lupinus angustifolius"	"Plants"	0	3597	0	0	0	0	0	0
"Macrococcus caseolyticus"	"Bacteria"	0	0	0	0	0	0	7	0
"Magnetospirillum gryphiswaldense"	"Bacteria"	0	28	0	0	0	0	0	0
"Malassezia restricta"	"Fungi"	0	0	4490	0	0	0	0	0
"Medicago truncatula"	"Plants"	0	3986	0	0	0	0	0	0
"Megachile rotundata"	"Arthropods"	28	317	2	267	171	94	0	0
"Megalopta genalis"	"Arthropods"	0	0	0	0	184	0	0	161
"Melipona quadrifasciata"	"Arthropods"	20	93	192	64	2780	2812	2401	2195
