Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AnnotatedRead	GenusRead	SpeciesRead	AssemblyGenusRichness	GenusRichness	AssemblySpeciesRichness	SpeciesRichness	Group	GenusHill_0.0	GenusHill_0.1	GenusHill_0.2	GenusHill_0.3	GenusHill_0.4	GenusHill_0.5	GenusHill_0.6	GenusHill_0.7	GenusHill_0.8	GenusHill_0.9	GenusHill_1.0	GenusHill_1.1	GenusHill_1.2	GenusHill_1.3	GenusHill_1.4	GenusHill_1.5	GenusHill_1.6	GenusHill_1.7	GenusHill_1.8	GenusHill_1.9	GenusHill_2.0	GenusHill_2.1	GenusHill_2.2	GenusHill_2.3	GenusHill_2.4	GenusHill_2.5	GenusHill_2.6	GenusHill_2.7	GenusHill_2.8	GenusHill_2.9	GenusHill_3.0	GenusHill_3.1	GenusHill_3.2	GenusHill_3.3	GenusHill_3.4	GenusHill_3.5	GenusHill_3.6	GenusHill_3.7	GenusHill_3.8	GenusHill_3.9	GenusHill_4.0	SpeciesHill_0.0	SpeciesHill_0.1	SpeciesHill_0.2	SpeciesHill_0.3	SpeciesHill_0.4	SpeciesHill_0.5	SpeciesHill_0.6	SpeciesHill_0.7	SpeciesHill_0.8	SpeciesHill_0.9	SpeciesHill_1.0	SpeciesHill_1.1	SpeciesHill_1.2	SpeciesHill_1.3	SpeciesHill_1.4	SpeciesHill_1.5	SpeciesHill_1.6	SpeciesHill_1.7	SpeciesHill_1.8	SpeciesHill_1.9	SpeciesHill_2.0	SpeciesHill_2.1	SpeciesHill_2.2	SpeciesHill_2.3	SpeciesHill_2.4	SpeciesHill_2.5	SpeciesHill_2.6	SpeciesHill_2.7	SpeciesHill_2.8	SpeciesHill_2.9	SpeciesHill_3.0	SpeciesHill_3.1	SpeciesHill_3.2	SpeciesHill_3.3	SpeciesHill_3.4	SpeciesHill_3.5	SpeciesHill_3.6	SpeciesHill_3.7	SpeciesHill_3.8	SpeciesHill_3.9	SpeciesHill_4.0
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	Fungi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	All	24.0	21.327576971270666	19.171614372650843	17.4191792404304	15.981845397761688	14.79155892333068	13.796327218147216	12.956423819759399	12.241338794183866	11.627452908406545	11.09631296794683	10.633367937556676	10.227043329230964	9.86805886787174	9.548920168635375	9.263535460395017	9.006923144178689	8.774986250436001	8.564336878363079	8.372158480328368	8.196097135186875	8.034175240596223	7.884722678289596	7.746321682621359	7.617762510757004	7.498007663684942	7.386162901491333	7.281453675513532	7.183205893112536	7.090830158728519	7.003808812900237	6.921685230455855	6.844054948760844	6.7705582833431635	6.700874156494261	6.634714918503542	6.571821984083871	6.511962140669727	6.454924412479033	6.400517385980458	6.348566919840258	34.0	31.517420175470605	29.366975246833487	27.498728095303015	25.86997997048125	24.444578468545117	23.19207694526815	22.08688780992096	21.10750641397028	20.235836786692875	19.456623499666463	18.75698050347844	18.12600281147899	17.554446509175595	17.03446420871032	16.559385313746702	16.12353261925272	15.722068582763626	15.350866026729852	15.006399114734727	14.685651261716092	14.386037259176081	14.105337375613056	13.841641569926292	13.59330225893623	13.35889432813647	13.137181280043732	12.927086585836781	12.727669449713352	12.538104316323853	12.35766355352952	12.185702828653051	12.021648768904338	11.864988557930921	11.71526117228571	11.572050005557147	11.434976665254249	11.303695759349532	11.17789051654071	11.057269107526377	10.941561554500655
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	Bacteria	11.0	9.989565390136432	9.188736352484304	8.540994383752563	8.00663437994258	7.557917248223176	7.175339413000274	6.844976686751127	6.556676923784368	6.302860376952432	6.077731480281069	5.876760263522441	5.696337460616865	5.53354088280045	5.385973356517895	5.251647271410779	5.128900086592105	5.016330916741147	4.912751875582444	4.817150045707642	4.728657305123037	4.646526099732898	4.570109804598754	4.4988466832940555	4.432246704474015	4.3698806501758325	4.311371077004007	4.256384785081827	4.204626520481957	4.15583369130128	4.109771919983703	4.0662312879346185	4.025023155053589	3.98597745809636	3.9489404089219406	3.9137725275607513	3.880346956326782	3.848548010410143	3.8182699279328456	3.7894157886506297	3.7618965755910265	13.0	11.982550573308393	11.088613842319623	10.29929552476248	9.599320996687137	8.976360156002865	8.420392267619173	7.923165746552568	7.477770048234197	7.0783141108175025	6.7196945828733075	6.397433564057075	6.1075666093031264	5.8465649675832605	5.611279904087599	5.398900593856594	5.206920053282463	5.033105783084082	4.87547329828185	4.732261660339128	4.6019106609038625	4.483039573073663	4.374427490667461	4.274995292472037	4.183789244127211	4.099966212912819	4.022780434709601	3.9515717441525195	3.8857551601631806	3.824811708970501	3.7682803637661277	3.7157509824400345	3.666858130708721	3.6212756859949082	3.5787121265860176	3.5389064201297016	3.501624434903838	3.466655806199953	3.4338111983957433	3.4029199107748656	3.373827781856645
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	Viruses	2.0	1.9950259732439606	1.9900750571735475	1.9851495875282568	1.9802518503129	1.9753840761410248	1.9705484348723	1.9657470305740434	1.9609818968337704	1.956254992446122	1.951568197493802	1.946923309838265	1.942322042032063	1.9377660186607024	1.9332567741180204	1.928795750815333	1.92438429782087	1.9200236699226252	1.9157150271044945	1.9114594344226103	1.9072578622661387	1.903111186984405	1.8990201918602352	1.8949855684076409	1.8910079179706532	1.887087753599041	1.8832255021759343	1.879421506771954	1.8756760292003098	1.8719892527474686	1.8683612850543516	1.8647921611236267	1.8612818464294305	1.8578302401068068	1.8544371781992273	1.8511024369437628	1.8478257360747525	1.8446067421281795	1.8414450717303328	1.8383402948557757	1.8352919380410404	5.0	4.862757251620694	4.730639433210304	4.604073910676141	4.48339949004296	4.368861239203343	4.260609662309109	4.1587039494999045	4.063118701551239	3.9737533107487164	3.890443081137087	3.812971185848267	3.74108066229897	3.6744858051212304	3.6128824989442587	3.5559572113842126	3.5033945221338776	3.4548831869938614	3.4101208235207596	3.368817360280982	3.3306974199644834	3.2955018143534494	3.2629883226803145	3.232931909667282	3.205124519753602	3.1793745627418097	3.155506185353918	3.133358404189491	3.112784158925027	3.0936493304823336	3.075831757256597	3.059220273118442	3.043713783504077	3.0292203901795	3.015656570915929	3.002946417078819	2.9910209297817945	2.9798173735956426	2.9692786856715436	2.959352937408332	2.9499928453633473
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	Arthropods	9.0	7.76884063613867	6.820142589568829	6.090481950840702	5.526794512646575	5.08713060631517	4.739625328154439	4.460687008603158	4.233095130994071	4.044347941321317	3.885360883276437	3.7494966923187922	3.6318650373763854	3.5288251386521607	3.437634998999895	3.3562041904215403	3.282919005075561	3.2165180144790924	3.1560028042032813	3.1005733770440385	3.0495809778392973	3.0024933230954067	2.958868740758248	2.918336766863288	2.880583462017625	2.8453402068007905	2.8123750817454205	2.781486181846166	2.7524963893151417	2.725249253019959	2.6996057133155302	2.6754414768426003	2.652644894264901	2.631115229716614	2.6107612373694784	2.5914999804556955	2.573255843062633	2.5559596963275086	2.539548189239456	2.5239631407898173	2.5091510152073386	14.0	13.021794114709566	12.241390942100184	11.615695027798447	11.110019205894647	10.6971974908068	10.356321531847659	10.071453302571413	9.830487908415792	9.624224226909263	9.44563977085779	9.289340591129116	9.151150835062452	9.027809198543052	8.916745192099361	8.815914145331506	8.723675110216606	8.638700004992556	8.559905521440518	8.486401670596095	8.417452551619006	8.352446158878513	8.290870923108315	8.232297311956602	8.176363265484143	8.12276256508053	8.071235466874079	8.02156109918984	7.973551246433379	7.927045231964774	7.881905679264698	7.838014980480415	7.795272338889389	7.753591280224312	7.7128975495282885	7.6731273269585865	7.634225708972056	7.596145411513313	7.55884565985834	7.522291236140152	7.486451660672957
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LF_F18	1443107	882436	882436	0.3	125448.0	83116.0	41558.0	11	24	13	34	Fungi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LF_F18	1443107	882436	882436	0.4	266103.0	223319.0	178091.0	12	26	16	35	All	26.0	19.99168405593941	15.720919012269917	12.613309134857795	10.303851818284297	8.558248187545722	7.221805023541968	6.188565462255244	5.383323932834198	4.751186809845832	4.251337628746626	3.8531026142929883	3.533300771364679	3.2743576857498593	3.0629150416676225	2.888788720457422	2.7441846835284776	2.623109594620483	2.520929042504074	2.434037124450592	2.3596095065863887	2.295418713604128	2.239695642987219	2.191025365462709	2.148268368512052	2.1105007193656653	2.0769683429480077	2.047051874955513	2.0202394769456333	1.996105678318151	1.974294806357962	1.9545079295025392	1.9364925067894552	1.9200341342274017	1.9049499255765712	1.8910831744304248	1.8782990264835877	1.866480952647666	1.855527860475467	1.845351716999515	1.8358755833884115	35.0	27.074636886073755	20.798407352228377	15.83120252926473	11.957781681855042	9.01401254202445	6.844640550253763	5.2915499805448345	4.202825152457981	3.4471325359351046	2.9219262206932157	2.553175147575968	2.290096318558644	2.098790471824343	1.9568397326845277	1.849379670833269	1.7664551346195538	1.7013042191268477	1.6492596256611631	1.6070454881829679	1.5723239967319345	1.5433996811606085	1.5190238652457355	1.4982634515917133	1.4804115561250086	1.464925747118657	1.4513847518023701	1.4394576923105122	1.4288819391235428	1.419446970155652	1.4109824684921406	1.4033494479873039	1.3964335667984822	1.3901400392927685	1.3843897278068245	1.379116113947561	1.3742629317204003	1.3697823031025156	1.3656332582899384	1.3617805528203841	1.358193715563724
LF_F18	1443107	882436	882436	0.4	266103.0	223319.0	178091.0	12	26	16	35	Bacteria	12.0	10.713645629961693	9.723346999139965	8.946360538310309	8.324178397908836	7.815927366114248	7.393059397119923	7.035465524670491	6.728777794863686	6.462547531092151	6.2290295851900925	6.022371548795692	5.8380692930527	5.672596938624928	5.5231515163833675	5.387473754805152	5.263720063957678	5.150369482344767	5.04615489648618	4.950011396116304	4.861036927065776	4.778461910223505	4.7016254958147	4.629956797141617	4.5629599099356035	4.500201844424812	4.4413027233928215	4.385927761070448	4.33378065463062	4.284598105731865	4.238145253077444	4.19421184458438	4.1526090138500145	4.113166553234286	4.075730597231169	4.040161646456214	4.006332875673358	3.9741286796629742	3.943443419017364	3.9141803346055366	3.886250604828344	14.0	12.877068615750686	11.92761231302182	11.116275013468714	10.416140486150077	9.806771895226577	9.272555788841588	8.801408111503553	8.383813270922248	8.012134077572668	7.680126203289484	7.382599554241798	7.115181581409026	6.874149695414408	6.656309930413125	6.458906498884748	6.279552181014087	6.11617307550135	5.9669635755224775	5.830348915271865	5.7049535522747625	5.589574214044078	5.483156781721378	5.3847763957636205	5.293620303675408	5.208973059666062	5.130203749799366	5.05675496439643	4.988133278074963	4.9239010300910415	4.863669225347323	4.8070914005209335	4.753858320826148	4.703693391349412	4.656348682974114	4.61160148690264	4.569251323913157	4.529117344971039	4.491036068847075	4.4548594101584	4.420452957908158
