# phylum
Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Liquorilactobacillus	Bacteria	0	44	42	0	0	0	0
Listeria	Bacteria	4	0	0	0	0	0	0
Loigolactobacillus	Bacteria	0	0	0	26	0	0	0
Lotus	Plants	13636	0	0	0	0	0	0
Lucilia	Arthropods	46	182	0	0	0	0	0
Lupinus	Plants	8722	734	1979	1384	0	794	757
Macrococcus	Bacteria	0	0	0	0	0	7	0
Magnetospirillum	Bacteria	28	0	0	0	0	0	0
Malassezia	Fungi	0	6844	0	0	0	0	0
Medicago	Plants	3986	0	0	0	0	0	0
Mediterraneibacter	Bacteria	0	0	12	0	0	0	0
Megachile	Arthropods	317	2	267	171	94	0	0
Megalopta	Arthropods	0	0	0	184	0	0	161
Melipona	Arthropods	93	192	64	2780	2812	2401	2195
Mesorhizobium	Bacteria	0	0	125	0	0	0	0
Methylobacterium	Bacteria	0	0	35	0	0	0	0
Methylomicrobium	Bacteria	0	0	8	0	0	0	0
Mikania	Plants	406	0	0	0	0	3982	0
Moesziomyces	Fungi	0	0	0	0	0	4	0
Monomorium	Arthropods	4	0	0	0	0	0	0
Morganella	Bacteria	0	0	6593	0	0	0	0
Mucuna	Plants	4639	0	0	0	0	0	0
Musca	Arthropods	0	58	0	0	0	0	0
Mycobacterium	Bacteria	144	0	0	0	0	0	0
Nasonia	Arthropods	10	0	21	0	0	0	0
Naumannella	Bacteria	0	0	0	4	0	0	0
Neisseria	Bacteria	0	0	69	0	0	0	0
Nicotiana	Plants	0	174	0	0	0	0	0
Nitrospirillum	Bacteria	0	0	29	0	0	0	0
Nomia	Arthropods	57	0	0	197	0	167	0
Nosema	Fungi	217873	0	306037	7589	1444	0	1660
Nylanderia	Arthropods	23	0	15	0	0	0	0
Oblitimonas	Bacteria	0	0	64	0	0	0	0
Olsenella	Bacteria	282	0	0	0	0	0	0
Ooceraea	Arthropods	0	0	0	163	225	0	0
Orbus	Bacteria	0	0	751	0	958	0	0
Osmia	Arthropods	219	2900	0	0	0	0	0
Pantoea	Bacteria	47	0	0	2752	4324	8986	0
Parascardovia	Bacteria	907	0	0	92	85	154	0
Patellaria	Fungi	0	0	0	0	0	40	0
Paucimonas	Bacteria	0	0	12	0	0	0	0
Pectobacterium	Bacteria	0	0	52	0	0	0	0
