KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K05783	18	0	0	0	0	2	0
K05784	10	4	0	0	0	0	0
K05785	0	8	0	4	0	16	0
K05786	1004	64	2020	353	155	164	0
K05787	268	4	747	88	28	40	6
K05788	786	10	1591	93	31	45	21
K05789	4	8	0	0	0	0	0
K05790	12	8	0	0	12	12	0
K05791	42	0	170	8	0	2	0
K05792	4	8	135	4	4	6	0
K05794	3612	316	6895	875	485	955	88
K05795	140	20	610	114	60	8	13
K05796	4	24	22	633	238	427	0
K05797	0	0	88	6	0	0	0
K05799	863	29	1416	54	45	42	12
K05800	449	0	1080	31	10	2	8
K05801	1691	36	3237	422	171	260	22
K05802	4030	74	7006	749	391	476	46
K05803	316	2	814	104	31	69	2
K05804	602	27	1067	103	157	151	21
K05805	0	8	0	0	4	2	0
K05807	2177	41	4412	305	134	154	33
K05808	2928	185	6580	744	327	747	79
K05809	127	0	372	52	14	18	1
K05810	4969	254	9251	1719	749	1797	73
K05811	0	0	0	0	0	2	0
K05812	8	4	223	12	0	10	0
K05813	22	131	4	311	97	297	0
K05814	31	92	22	160	111	107	4
K05815	44	87	62	201	104	195	0
K05816	29	55	24	17	28	8	0
K05817	21	20	0	7	0	8	0
K05818	12	8	0	0	0	4	0
K05819	13	4	0	0	0	0	0
K05820	1149	32	2433	45	28	30	6
K05822	2890	1517	5663	484	32	196	72
K05823	4711	2929	8973	713	132	284	160
K05824	3	16	7	12	0	22	0
K05825	4451	1983	9398	2358	1200	2881	68
K05827	0	0	4	0	0	0	0
K05830	0	1	0	0	5	1	0
K05831	4	0	0	0	0	0	0
K05832	4388	2691	8675	1453	505	1180	89
K05833	4323	2044	8535	1467	354	1067	92
K05834	1	2	6	4	0	0	0
K05835	0	7	0	4	4	0	0
K05836	0	30	10	1	0	26	0
K05837	3897	2305	8255	712	235	479	126
K05838	3850	297	8219	1785	600	1688	66
K05839	0	4	8	0	0	0	0
K05840	0	4	0	0	0	0	0
K05841	3	0	32	37	5	90	0
K05844	6	0	594	7	4	8	0
K05845	4743	1649	9230	524	111	204	131
K05846	5486	1699	10323	769	136	286	123
K05847	4917	767	8961	718	107	250	150
K05848	0	0	4	36	0	89	0
K05849	5	40	0	0	0	0	0
K05850	3	39	0	0	0	0	0
K05851	1172	42	2085	325	290	315	10
K05853	0	2	11	3	4	4	0
K05855	1	6	0	0	0	0	0
K05856	0	3	0	0	0	0	0
K05857	11	8	4	1	4	52	0
