KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K10431	18	2	6	0	0	0	0
K10436	23	4	18	20	0	8	0
K10437	0	10	0	18	0	18	0
K10438	0	6	0	0	0	0	0
K10439	3617	248	8437	292	121	1274	62
K10440	2904	59	6895	284	91	1267	51
K10441	3877	114	9158	320	236	1280	75
K10443	382	65	531	7	11	1	0
K10444	0	1	0	0	0	0	0
K10447	0	11	0	0	0	0	0
K10454	0	12	0	0	0	0	0
K10456	0	4	0	0	0	0	0
K10457	376	75	533	7	3	0	0
K10461	0	5	0	0	0	0	0
K10462	0	6	0	0	0	0	0
K10463	0	7	0	0	0	0	0
K10464	0	4	0	0	0	0	0
K10467	0	4	0	0	0	0	0
K10477	4	0	0	0	0	0	0
K10478	0	16	0	4	0	0	0
K10480	0	6	0	0	0	0	0
K10481	2	3	0	0	0	0	0
K10483	0	10	6	0	0	0	0
K10484	0	6	0	0	0	0	0
K10485	1	0	0	0	0	0	0
K10486	6	519	15	340	285	231	2
K10494	0	12	0	0	0	0	0
K10495	2	22	0	0	0	0	0
K10496	0	0	0	0	0	1	0
K10501	0	4	0	0	0	0	0
K10513	0	32	0	0	0	0	0
K10515	0	1	0	0	0	0	0
K10519	0	6	0	0	0	0	0
K10521	0	10	6	0	0	0	0
K10523	30	37	4	40	24	78	0
K10524	2	0	0	2	10	1	0
K10525	0	0	4	0	0	0	0
K10526	11	0	4	0	0	2	0
K10530	2054	38	5360	358	108	312	87
K10531	0	0	0	20	4	22	4
K10532	4	1	0	0	0	0	0
K10534	2	0	0	12	0	1	0
K10536	44	0	132	6	4	0	0
K10537	6	4	4	1	0	4	0
K10538	0	4	0	4	0	12	0
K10539	28	0	5	9	7	16	0
K10540	6	0	0	3	10	0	0
K10541	0	3	0	0	4	4	0
K10542	775	10	2120	70	81	591	22
K10543	0	14	0	0	0	0	0
K10544	0	9	2	6	4	4	0
K10545	1164	18	2240	162	40	336	4
K10546	1777	2	3186	321	65	506	18
K10547	1803	24	3171	389	27	480	14
K10548	2663	61	4852	474	73	691	28
K10551	248	8	628	27	2	0	0
K10552	155	62	416	15	3	175	4
K10553	8	14	0	0	0	0	0
K10557	2	0	0	6	0	0	0
K10558	2	2	28	0	0	0	0
K10559	14	8	41	0	0	0	0
K10560	28	12	10	0	0	0	0
K10561	24	10	2	0	0	0	0
K10562	56	81	113	0	3	4	4
K10563	4149	2086	7972	357	95	321	85
K10564	865	0	1197	27	0	0	6
K10569	1	0	0	0	0	0	0
K10570	0	12	0	6	0	2	0
K10571	0	0	0	2	0	0	0
K10572	0	0	0	0	0	1	0
K10573	8	0	44	0	0	21	0
K10574	8	0	44	0	0	21	0
K10575	78	8	112	4	0	0	2
K10576	24	0	50	0	0	9	0
K10577	34	17	50	30	3	19	0
K10579	18	0	9	2	0	16	0
K10580	16	0	0	2	0	12	0
K10581	6	0	0	6	0	0	0
K10582	4	14	1	0	0	0	0
K10583	2	0	0	0	0	0	0
K10586	7	199	6	2	1	1	1
K10587	0	19	0	0	0	0	0
K10588	0	0	2	0	1	0	0
K10589	0	10	0	1	2	4	0
K10590	7	17	0	4	2	2	0
K10591	274	150	374	41	12	64	2
K10592	332	215	425	15	2	59	2
K10593	4	8	0	0	0	0	0
K10595	6	56	7	1	1	0	2
K10596	17	0	0	0	0	0	0
K10597	91	2	96	0	0	45	0
K10598	3	1	0	0	0	0	0
K10599	0	6	0	0	0	3	0
K10601	12	0	38	4	0	4	0
K10604	10	3	0	0	0	0	0
K10605	31	0	22	0	0	0	0
K10607	0	4	0	0	0	0	0
K10608	0	16	0	0	0	0	0
K10609	0	0	0	4	0	0	0
K10610	2	0	0	0	0	0	0
K10611	0	8	0	0	0	0	0
K10614	82	0	67	16	4	2	0
K10615	9	0	15	8	4	2	0
K10617	0	2	2	0	0	0	0
K10624	48	1	76	8	0	0	0
K10625	0	16	0	6	6	24	0
K10626	0	16	0	0	0	0	0
K10627	0	0	0	6	0	10	0
K10630	2	12	2	0	0	0	0
K10631	0	4	0	0	0	0	0
K10632	4	0	0	0	0	0	0
K10635	22	0	28	0	0	0	0
K10637	2	0	4	0	2	0	0
K10638	0	11	6	0	0	0	0
K10639	28	0	39	0	0	0	0
K10640	0	6	0	0	0	0	0
K10641	0	3	0	0	0	0	0
K10642	0	3	0	0	0	0	0
K10643	60	1	36	9	4	61	0
K10644	0	0	0	0	0	3	0
K10645	1	20	0	0	0	2	0
K10647	0	4	0	0	0	0	0
K10649	2	1	0	0	0	0	0
K10650	0	8	0	0	0	0	0
K10651	0	12	0	4	0	0	0
K10653	0	25	4	0	0	0	0
K10654	0	25	4	0	0	0	0
K10655	0	25	4	0	0	0	0
K10656	28	0	34	6	0	0	0
K10659	0	16	0	0	0	0	0
K10661	46	3	116	20	2	12	0
K10664	23	0	4	0	0	0	0
K10666	10	6	4	0	0	0	0
K10669	8	28	0	0	0	1	0
K10673	143	0	0	0	0	0	2
K10674	8	0	0	2	0	0	0
K10676	16	2	0	0	0	0	0
K10677	3	2	9	0	0	0	0
K10678	659	1372	1113	198	161	216	18
K10679	768	18	1534	146	53	137	20
K10680	1588	58	3079	112	27	131	23
K10681	544	8	842	10	4	14	5
K10682	0	14	0	0	0	0	0
K10683	0	6	0	0	0	0	0
K10684	0	4	0	8	0	6	0
K10685	56	0	58	0	0	23	0
K10686	7	0	0	8	0	35	0
K10688	0	0	2	0	0	0	0
K10689	0	0	0	0	1	2	0
K10691	7	20	0	0	1	2	0
K10692	0	9	0	0	0	0	0
K10693	12	7	5	3	1	1	2
K10694	1	0	0	0	0	0	0
K10695	4	0	0	0	0	0	0
K10696	42	0	58	8	0	7	0
K10698	2	6	2	2	0	23	0
K10703	8	0	0	2	0	16	0
K10704	0	0	0	0	0	23	0
K10705	4	44	0	0	0	8	2
K10706	50	9	14	1	4	14	0
K10707	4	0	6	0	0	0	0
K10708	1080	4	1893	69	12	29	36
K10709	94	0	458	32	0	0	0
K10710	956	9	1516	59	1	8	10
K10711	862	8	1975	111	11	1	25
K10712	2	0	0	0	0	0	0
K10714	2	0	19	0	0	0	0
K10715	0	6	0	0	4	4	0
K10716	27	583	40	65	16	2	0
K10717	1	0	5	0	0	2	0
K10718	1	4	0	0	0	0	0
K10719	0	1	0	0	0	0	0
K10720	0	0	0	0	1	0	0
K10723	4	0	0	0	0	0	0
K10724	9	3	82	0	0	0	0
K10728	6	0	0	0	0	0	0
K10730	2	2	3	0	0	0	0
K10731	0	0	0	0	0	2	0
K10732	24	0	20	0	1	10	0
K10733	16	0	52	1	2	10	0
K10734	21	10	24	4	0	1	0
K10735	2	0	8	6	0	0	0
K10736	0	1	0	0	0	1	0
K10737	132	11	146	10	0	0	0
K10738	82	8	151	4	0	0	0
K10739	18	0	36	0	0	0	0
K10742	118	23	167	15	6	70	0
K10743	42	12	57	24	0	4	2
K10744	0	2	0	0	0	0	0
K10745	0	0	0	0	0	1	0
K10746	49	0	99	12	12	47	0
K10747	125	112	186	37	8	54	4
K10748	2	0	0	0	16	3	0
K10749	0	12	0	0	0	0	0
K10750	8	2	0	0	0	0	0
K10751	52	4	80	17	0	43	0
K10752	111	8	226	7	24	19	0
K10753	54	0	66	0	0	22	0
K10754	132	8	208	56	0	34	0
K10755	156	6	176	39	0	49	0
K10756	134	12	139	26	4	50	0
K10758	0	0	0	0	2	0	0
K10760	2	0	0	0	0	0	0
K10761	4	0	0	0	1	9	0
K10762	5	0	8	0	0	0	0
K10763	829	24	1200	103	107	115	11
K10764	2019	37	4676	201	43	88	0
K10765	0	0	0	12	0	10	0
K10768	0	0	0	4	0	0	0
K10769	3	139	1	3	0	0	4
K10770	2	0	0	4	0	0	0
K10771	6	12	4	217	81	44	0
K10772	58	0	54	12	0	45	0
K10773	5034	287	10405	1504	655	1180	82
K10775	16	0	4	0	0	0	0
K10776	2	0	0	0	0	0	0
K10777	3	35	0	26	0	9	0
K10778	1592	101	3202	173	37	101	33
K10779	8	2	0	0	0	0	0
K10780	4	28	0	0	0	0	0
K10781	0	0	0	0	0	1	0
K10782	3	0	0	0	0	0	0
K10785	4	0	0	0	0	0	0
K10788	0	9	0	0	0	0	0
K10789	0	9	0	0	0	0	0
K10793	406	0	546	27	4	0	15
K10794	151	0	321	6	0	0	0
K10797	731	83	1414	50	14	15	25
K10798	154	31	9	28	0	27	4
K10799	4	0	0	0	0	0	0
K10801	2	24	0	0	0	0	0
K10802	4	39	0	0	0	1	0
K10803	22	4	0	0	0	0	0
K10804	800	4	1865	44	13	31	0
K10805	3581	195	6976	1012	406	903	50
K10806	469	48	1138	99	119	110	16
K10807	730	68	573	54	10	157	5
K10808	392	20	231	44	0	71	2
K10810	0	48	0	0	0	0	0
K10815	0	0	0	0	0	4	0
K10819	4	38	0	0	0	4	0
K10823	1356	1918	2435	294	48	209	39
K10824	398	0	799	26	24	16	11
K10830	2	0	0	116	0	16	0
K10831	16	16	25	0	6	9	0
K10834	4	6	0	0	0	0	0
K10838	55	4	30	10	0	18	0
K10839	4	60	0	14	1	33	0
K10840	2	0	0	0	0	0	0
K10841	3	0	0	19	0	74	0
K10842	46	0	40	2	0	16	0
K10843	243	117	236	29	24	22	4
K10844	134	35	252	25	17	52	0
K10845	0	0	0	2	0	3	0
K10846	88	0	79	4	2	61	0
K10847	10	7	20	0	2	10	0
K10848	105	15	69	5	0	20	0
K10849	21	0	26	14	0	32	0
K10854	4	0	0	0	0	0	0
K10855	0	0	4	4	12	28	0
K10857	32	18	0	0	16	0	0
K10858	112	113	116	21	4	44	0
K10859	4	2	0	0	0	0	0
K10861	0	4	0	0	0	0	0
K10862	0	2	0	6	0	39	0
K10863	2	0	0	0	0	0	0
K10864	0	0	4	4	0	0	0
K10865	54	0	94	20	0	60	0
K10866	116	20	124	14	0	36	0
K10867	1	0	0	0	0	0	0
K10869	0	4	0	0	0	0	0
K10870	1	8	0	0	0	0	0
K10871	1	0	0	0	0	0	0
K10872	113	0	112	4	0	0	0
K10873	68	2	68	11	0	14	0
K10875	32	3	0	23	0	73	2
K10877	7	0	0	20	0	26	0
K10878	27	0	18	2	0	4	0
K10880	0	0	0	2	0	0	0
K10881	0	0	0	2	0	4	0
K10882	3	10	1	0	8	35	0
K10884	1	16	0	0	0	5	0
K10885	20	0	0	0	0	5	0
K10886	0	8	0	0	0	0	0
K10891	0	2	0	0	0	0	0
K10892	0	4	0	0	0	0	0
K10896	2	0	0	0	0	20	0
K10897	0	4	0	0	0	0	0
K10899	2	0	0	2	0	0	0
K10900	7	0	0	0	0	0	0
K10901	198	2	212	16	0	49	0
K10903	8	0	0	2	0	2	0
K10904	20	14	0	0	0	1	0
K10906	33	0	428	4	0	4	0
K10907	3153	192	7216	350	108	153	65
K10908	10	6	2	54	12	56	0
K10911	4	0	0	0	0	0	0
K10912	0	0	5	0	0	0	0
K10914	2603	191	5629	1080	501	1102	30
K10918	227	0	416	8	0	2	4
K10921	2	0	0	0	0	0	0
K10926	0	0	0	0	0	6	0
K10930	0	0	0	0	0	6	0
K10931	0	0	0	0	0	6	0
K10941	12	32	17	2	2	29	0
K10942	4	0	4	0	0	0	0
K10943	4	8	26	0	0	0	0
K10947	2529	1607	4936	222	28	110	100
K10949	15	0	14	10	0	4	0
K10951	10	10	1	1	0	1	0
K10953	6	14	16	0	0	0	0
K10954	13	28	18	0	0	0	2
K10955	0	33	0	0	0	0	0
K10956	137	24	179	68	8	44	0
K10958	0	0	0	2	0	0	0
K10960	489	0	926	59	43	33	16
K10967	44	2	54	42	26	185	0
K10969	0	0	0	0	0	4	0
K10970	0	0	0	0	0	2	0
K10971	0	0	0	0	0	2	0
K10972	667	8	556	47	2	0	10
K10973	64	0	38	0	4	2	0
K10974	380	4	1700	47	20	4	6
K10975	0	10	0	0	0	0	0
K10978	1	0	2	1	0	0	0
K10979	0	8	4	3	0	34	0
K10980	8	22	0	1	0	0	0
K10981	0	0	0	1	0	6	0
K10984	576	0	1497	130	14	90	17
K10985	376	4	857	20	4	5	2
K10986	205	0	402	9	0	0	0
K10994	1	0	0	0	0	0	0
K10997	0	0	0	11	0	38	0
K10998	0	0	0	0	0	2	0
K10999	44	8	4	4	0	1	1
K11000	42	0	0	1	0	6	0
K11002	0	3	0	0	0	0	0
K11003	392	6	971	77	22	68	17
K11004	611	14	1624	132	54	112	3
K11005	1904	0	1175	34	1	0	0
K11009	4	0	0	0	0	0	0
K11021	46	2	59	4	0	0	0
K11022	0	0	100	2	0	0	0
K11029	2	0	2	0	1	0	0
K11031	0	2	0	0	0	0	0
K11045	8	90	0	0	0	0	0
K11050	1721	541	2314	200	48	54	67
K11051	1584	441	2515	170	17	16	27
K11062	0	0	26	0	0	0	0
K11065	1144	238	1969	574	197	683	29
K11066	105	8	696	13	8	26	0
K11067	2	0	0	0	0	0	0
K11068	2971	1361	6322	556	214	472	82
K11069	1045	1850	983	245	82	141	43
K11070	35	1357	63	31	1	8	29
K11071	37	1564	19	10	0	2	12
K11072	106	2473	461	127	16	40	25
K11073	1711	4	2906	489	172	267	39
K11074	1195	16	2023	152	146	100	33
K11075	984	4	1327	297	181	172	21
K11076	1748	78	3473	562	238	340	45
K11077	16	0	0	0	0	16	0
K11078	33	0	32	0	0	0	0
K11080	15	0	0	7	0	0	0
K11084	2	0	0	0	1	0	0
K11085	5192	94	11519	699	247	441	123
K11086	7	0	16	0	0	11	0
K11087	0	0	0	0	0	5	0
K11088	8	0	2	0	0	0	0
K11089	4	4	8	0	0	0	0
K11090	28	8	86	8	0	19	0
K11091	0	4	0	0	0	0	0
K11092	0	1	0	0	0	5	0
K11093	0	4	0	9	0	10	0
K11094	8	6	2	1	0	1	0
K11095	0	4	0	0	0	8	0
K11096	4	0	0	4	4	10	0
K11097	1	8	0	0	0	4	0
K11098	1	174	2	3	2	28	2
K11099	2	0	5	0	0	1	0
K11100	7	0	16	0	0	1	0
K11101	8	1	1	0	0	0	0
K11102	1364	388	2495	391	132	177	37
K11103	1771	54	3508	103	39	80	8
K11104	90	6	105	73	70	295	8
K11105	22	79	2	4	26	6	0
K11106	1572	16	2881	66	32	16	12
K11107	245	0	173	57	6	66	4
K11108	74	28	94	20	0	18	0
K11111	49	0	69	0	0	0	0
K11113	0	12	0	0	0	0	0
K11121	60	7	45	13	0	27	0
K11124	1	4	0	0	0	0	0
K11125	0	2	0	0	0	0	0
K11126	54	0	48	4	2	7	0
K11128	54	0	56	2	8	5	0
K11129	27	4	22	44	0	29	0
K11130	12	0	10	0	0	0	0
K11131	114	8	134	57	4	86	0
K11134	0	0	0	0	0	4	0
K11135	0	8	0	0	0	14	0
K11136	2	20	0	2	0	0	0
K11137	0	3	1	8	0	0	0
K11140	21	91	14	0	9	4	0
K11141	8	17	4	0	0	0	0
K11142	144	8	266	2	0	0	0
K11143	1	9	3	0	0	4	0
K11144	1922	1395	3454	162	12	169	32
K11145	1166	871	2423	109	36	127	41
K11147	0	0	4	0	0	0	0
K11151	2	16	0	1	0	0	0
K11153	14	8	0	0	0	1	0
K11155	45	0	32	5	3	73	0
K11156	0	6	0	0	0	0	0
K11159	2	10	0	10	4	0	0
K11161	0	3	0	0	0	0	0
K11163	1	0	0	0	0	0	0
K11164	0	0	4	0	0	0	0
K11170	0	0	0	1	0	0	0
K11175	956	1255	1773	170	83	172	10
K11177	32	56	4	7	2	32	0
K11178	4	63	0	17	0	4	0
K11179	148	0	453	156	42	62	8
K11180	1	0	0	0	0	0	0
K11182	0	1	0	0	0	0	0
K11183	4342	68	9039	589	276	282	82
K11187	0	37	0	0	2	4	0
K11188	0	0	2	2	0	0	0
K11189	5019	566	11205	472	182	363	75
K11191	0	8	4	6	4	13	0
K11192	0	8	4	6	4	13	0
K11194	14	0	2	0	0	0	0
K11195	4	0	1	4	0	0	2
K11196	5	0	20	1	0	0	0
K11198	34	0	9	1	0	0	3
K11199	34	0	9	1	0	0	3
K11200	34	0	9	1	0	0	3
K11201	713	0	1945	58	8	10	41
K11202	792	0	1805	58	9	8	37
K11203	1047	0	2488	67	9	23	47
K11204	156	4	186	16	4	40	0
K11206	1001	83	1955	287	292	207	14
K11208	0	0	0	0	0	4	0
K11209	70	15	4	2	28	10	0
K11212	1	0	0	0	0	0	0
K11213	0	0	0	6	0	0	0
K11215	46	0	105	12	2	10	0
K11217	0	6	0	0	20	0	0
K11218	0	6	0	0	20	0	0
K11219	1	52	0	0	0	2	0
K11223	0	4	0	0	0	0	0
K11224	0	8	0	0	0	0	0
K11225	0	4	0	0	0	0	0
K11226	4	4	0	6	0	1	0
K11227	0	0	4	12	0	15	0
K11228	0	0	0	12	12	15	0
K11229	0	0	4	33	12	47	0
K11230	0	0	0	0	0	41	0
K11231	0	0	1	6	0	37	0
K11233	0	0	0	4	12	19	0
K11236	0	4	0	18	2	5	0
K11237	4	1	0	22	4	81	0
K11238	31	0	70	7	8	34	0
K11239	0	0	0	0	2	8	0
K11240	0	0	0	0	0	8	0
K11244	11	0	0	1	0	14	0
K11246	0	0	0	2	0	34	0
K11247	2	20	0	0	0	0	0
K11250	348	4	381	48	20	40	0
K11251	173	16221	32	7	3	57	84
K11252	90	8413	0	15	8	27	38
K11253	616	30225	372	31	2	31	183
K11254	335	35542	33	16	0	28	204
K11255	0	11	0	0	0	0	0
K11258	166	0	299	1	6	19	0
K11259	1	0	0	0	0	0	0
K11262	22	30	0	59	16	207	4
K11263	6720	460	13784	2360	1112	3177	87
K11264	4	0	0	0	0	0	0
K11265	0	147	0	2	0	0	2
K11266	0	4	0	0	0	0	0
K11267	3	0	0	0	0	0	0
K11268	0	0	12	0	0	8	0
K11269	0	14	0	12	2	8	0
K11270	6	2	0	8	2	0	0
K11271	0	0	0	0	0	2	0
K11272	0	0	0	2	0	0	0
K11273	47	36	42	2	4	45	0
K11274	0	6	8	9	0	32	0
K11275	42	4492	0	0	0	0	24
K11276	0	0	0	0	12	0	0
K11278	0	2	1	0	0	0	0
K11279	90	12	4	17	0	60	0
K11282	0	6	0	0	0	0	0
K11284	1	6	0	0	0	0	0
K11290	3	0	4	0	2	2	0
K11291	0	1	0	0	0	0	0
K11292	19	98	0	30	2	92	1
K11293	82	10	124	26	2	57	0
K11294	1	9	0	17	5	22	0
K11295	0	29	0	0	0	1	0
K11296	4	13	0	1	0	0	0
K11303	0	20	0	0	0	10	0
K11304	75	14	92	11	4	95	0
K11305	1	12	0	1	0	3	0
K11306	1	12	0	9	2	15	0
K11307	37	0	44	2	0	10	0
K11308	0	6	0	0	0	5	0
K11309	0	0	0	0	0	30	0
K11311	8	0	0	0	0	0	0
K11312	803	0	1531	212	89	125	15
K11313	0	0	0	6	0	24	0
K11314	40	12	30	16	1	53	0
K11315	0	0	0	6	0	34	0
K11317	0	1	0	0	0	0	0
K11318	1	0	2	1	0	0	0
K11319	16	0	17	41	3	34	0
K11320	11	19	4	1	0	0	0
K11321	0	0	0	0	0	12	0
K11322	21	24	30	4	0	44	0
K11324	1	0	0	10	0	28	0
K11329	0	0	2	0	0	0	0
K11333	8	16	0	0	0	0	0
K11334	4	2	0	0	0	0	0
K11335	4	0	0	0	0	0	0
K11336	5	0	0	0	0	0	0
K11337	2	0	0	0	0	0	0
K11338	87	12	128	20	15	46	0
K11339	3	0	0	0	0	33	0
K11340	40	4	32	17	1	13	0
K11341	16	0	4	4	2	24	0
K11343	10	0	14	2	0	4	0
K11344	6	0	18	0	0	1	0
K11346	1	0	0	13	0	45	0
K11347	4	0	0	21	0	1	0
K11348	0	16	0	0	0	0	0
K11349	0	14	0	0	0	1	0
K11350	0	8	0	0	0	0	0
K11352	0	0	0	0	0	8	0
K11353	0	0	0	4	0	16	0
K11357	603	19	444	13	0	0	0
K11358	0	4	2	0	0	0	0
K11359	17	2	36	12	18	13	0
K11360	0	0	0	8	0	17	0
K11361	0	0	0	0	4	4	0
K11362	0	0	0	0	0	20	0
K11363	2	0	0	0	0	0	0
K11364	3	51	0	0	0	15	0
K11365	0	0	4	0	0	17	0
K11366	20	4	2	0	0	28	0
K11367	2	5	4	48	24	133	0
K11368	8	0	23	0	0	8	0
K11369	0	0	0	27	0	12	0
K11370	0	0	0	0	0	2	0
K11372	0	0	0	1	0	12	0
K11373	12	0	2	5	0	27	0
K11374	109	16	71	15	6	41	0
K11375	34	65	54	2	0	6	0
K11376	0	0	0	0	0	4	0
K11378	0	0	0	8	2	11	0
K11379	4	0	0	0	0	0	0
K11380	2	0	2	6	0	14	0
K11381	547	29	3574	79	28	28	2
K11382	0	0	607	15	0	8	0
K11384	0	8	4	0	0	0	0
K11385	4	0	4	0	0	0	0
K11386	3	0	0	0	0	0	0
K11387	3	40	0	0	0	0	0
K11389	0	4	0	0	0	0	0
K11391	19	88	30	4	13	22	0
K11392	4	0	1	2	2	10	0
K11393	2	0	0	12	0	0	0
K11394	0	0	0	0	1	0	0
K11396	16	0	17	28	3	9	0
K11397	0	0	0	0	2	22	0
K11399	0	0	0	0	0	3	0
K11400	0	0	0	16	0	13	0
K11401	0	0	0	0	0	10	0
K11404	82	0	120	21	6	60	0
K11406	5	17	1	1	0	0	0
K11407	5	2	6	11	1	51	0
K11408	5	17	1	1	0	0	0
K11409	5	17	1	1	0	0	0
K11410	0	10	0	0	0	0	0
K11412	5	6	0	8	0	0	0
K11413	0	0	0	2	0	0	0
K11415	0	0	0	4	0	0	0
K11416	19	381	3	5	9	10	2
K11417	17	328	3	0	4	4	2
K11418	2	8	0	0	0	0	0
K11419	14	12	4	0	2	0	0
K11420	18	13	4	0	0	0	0
K11422	4	0	0	9	1	18	0
K11423	4	0	0	8	0	18	2
K11424	11	164	1	3	0	2	4
K11425	11	164	1	3	0	2	4
K11426	10	4	0	8	0	17	0
K11427	4	0	0	4	0	5	0
K11428	0	4	0	0	0	0	0
K11429	0	15	0	0	0	0	0
K11430	84	39	80	8	0	0	0
K11432	0	3	0	0	0	0	0
K11433	130	193	228	53	41	29	8
K11434	0	8	0	5	1	28	0
K11436	0	12	0	0	0	26	0
K11438	1	1	0	0	0	0	0
K11439	0	4	0	1	1	0	0
K11440	0	8	37	0	0	0	0
K11441	8	8	4	0	2	8	0
K11442	54	0	96	2	0	0	0
K11443	286	0	579	12	4	8	0
K11444	16	0	0	0	0	4	0
K11445	1	1	0	0	0	0	0
K11446	18	38	0	21	1	0	0
K11447	25	63	0	2	0	0	0
K11449	5	87	8	0	0	0	0
K11450	11	7	6	4	0	55	0
K11451	0	0	1	0	0	0	0
K11453	1	8	0	0	0	0	0
K11454	5	0	1	0	0	0	0
K11455	1	0	1	0	0	0	0
K11456	0	1	0	0	0	0	0
K11457	0	5	0	0	0	0	0
K11458	0	5	0	0	0	0	0
K11459	1	5	0	0	0	0	0
K11461	0	5	0	0	0	0	0
K11462	2	0	0	0	0	0	0
K11463	10	125	0	2	2	4	0
K11465	0	5	0	0	0	0	0
K11467	1	0	0	0	0	0	0
K11470	2	83	0	0	0	0	2
K11471	0	16	0	0	0	1	0
K11472	6	0	2	0	0	20	0
K11473	47	29	10	0	12	8	2
K11474	12	3	0	0	0	8	0
K11475	0	0	0	0	0	2	0
K11476	0	13	0	0	0	0	0
K11477	369	826	664	18	0	0	4
K11478	0	15	0	0	0	0	0
K11479	104	3	112	0	0	4	0
K11480	104	0	112	0	0	0	0
K11481	110	1	158	0	0	4	0
K11483	80	0	120	21	6	56	0
K11484	0	2	1	24	0	57	0
K11485	1	0	0	0	0	0	0
K11486	1	0	0	0	0	0	0
K11490	6	0	1	0	0	0	0
K11491	0	2	0	0	0	2	0
K11493	73	103	93	12	3	22	0
K11494	8	0	19	0	4	0	0
K11495	80	61	112	20	4	2	0
K11497	0	0	8	0	3	8	0
K11498	69	9	58	0	12	39	2
K11501	0	8	0	0	0	1	0
K11504	0	25	0	0	0	0	0
K11506	0	2	0	0	0	0	0
K11511	0	0	1	0	1	2	1
K11514	0	1	0	0	0	0	0
K11515	0	29	0	7	18	19	0
K11517	21	5	1	0	0	1	0
K11518	62	8	98	48	0	52	0
K11526	0	0	2	0	0	0	0
K11527	0	4	0	0	0	8	0
K11528	935	0	2158	54	14	16	8
K11529	1935	25	3842	238	78	155	21
K11531	2	0	0	0	0	0	0
K11532	1380	4	2736	85	17	3	14
K11533	16418	2979	38012	12889	5118	14301	275
K11534	861	0	1309	77	44	54	22
K11535	3664	1859	5720	326	56	283	86
K11536	10	13	2	177	102	75	0
K11537	1258	18	2602	205	99	130	14
K11540	8	11	22	14	0	11	0
K11541	2	4	18	74	13	258	0
K11542	0	1	0	0	0	0	0
K11547	40	0	120	8	0	8	0
K11548	46	0	60	0	0	0	0
K11557	0	0	0	2	0	0	0
K11559	0	0	0	0	0	4	0
K11560	0	0	4	0	0	0	0
K11563	0	0	0	0	0	6	0
K11564	9	0	16	2	0	0	0
K11566	0	0	0	3	0	1	0
K11571	0	3	0	0	0	0	0
K11577	0	2	0	0	0	0	0
K11579	0	1	0	0	0	0	0
K11583	9	11	4	3	0	1	0
K11584	41	1	25	20	4	120	0
K11586	8	0	28	0	0	0	0
K11589	0	2	0	0	0	0	0
K11592	155	10	140	4	0	1	0
K11593	358	40	411	64	8	53	0
K11594	30	14	14	369	127	292	0
K11595	0	0	0	8	0	0	0
K11599	5	0	0	0	0	0	0
K11600	30	0	22	2	0	8	0
K11601	0	0	4	0	0	0	0
K11602	2	12	0	0	0	0	0
K11603	0	24	12	0	0	0	0
K11604	1718	8	3498	133	69	69	28
K11605	1826	8	3735	143	33	89	17
K11606	1358	28	3271	101	41	79	2
K11607	1952	107	4620	228	72	67	12
K11608	0	8	0	0	0	0	0
K11609	8	4	0	0	0	0	0
K11611	20	0	0	0	0	0	0
K11614	1401	11	3010	193	22	42	55
K11615	210	14	316	23	18	10	2
K11616	1038	0	1505	296	12	6	15
K11617	2	0	0	10	0	0	0
K11618	247	0	533	39	0	4	4
K11621	783	66	1263	72	0	0	28
K11622	0	0	0	6	0	0	0
K11623	0	252	0	0	0	0	4
K11624	0	183	0	0	0	0	0
K11625	12	642	0	0	0	0	10
K11626	0	0	0	0	0	1	0
K11628	6	0	5	0	0	0	0
K11630	10	8	10	0	0	0	0
K11631	6	0	0	11	0	0	0
K11634	0	2	0	0	0	0	0
K11635	4	0	42	12	0	0	0
K11636	0	4	0	0	0	0	0
K11642	25	0	0	0	2	0	0
K11643	26	0	0	0	2	0	0
K11644	237	65	170	14	8	37	0
K11645	254	8	170	6	0	0	0
K11647	9	22	4	5	0	4	0
K11648	7	4	0	15	0	60	0
K11649	70	14	90	10	0	30	0
K11650	50	20	42	22	8	16	0
K11652	0	4	0	17	0	13	0
K11653	0	11	0	0	0	0	0
K11654	14	12	2	74	15	180	0
K11655	3	89	0	1	4	0	0
K11657	6	5	0	0	0	1	0
K11658	0	2	0	0	0	0	0
K11659	108	0	226	4	0	14	0
K11660	0	16	0	0	0	0	0
K11661	7	19	0	0	0	0	0
K11662	0	8	0	1	1	55	0
K11663	0	4	0	1	0	2	0
K11664	0	8	0	0	0	0	0
K11665	135	12	218	49	20	47	0
K11666	6	0	0	0	0	0	0
K11667	6	6	18	6	0	0	0
K11668	2	0	0	0	0	0	0
K11671	7	13	0	0	2	1	0
K11672	64	8	40	5	0	34	0
K11673	0	3	0	14	0	47	1
K11674	2	4	0	0	0	0	0
K11675	0	0	0	4	0	42	0
K11680	0	18	0	0	4	8	0
K11681	0	0	0	8	6	60	0
K11682	0	0	0	0	0	24	0
K11684	0	0	0	4	0	55	0
K11685	5	0	49	0	0	4	0
K11687	2	0	0	0	0	0	0
K11688	8	0	0	0	0	0	0
K11690	0	0	0	8	0	0	0
K11692	190	8	453	27	0	0	14
K11693	9	2370	0	0	0	0	4
